case,backend,step,n_seeds,mean_reward,ci95_lower,ci95_upper
b300-tp1,triton,1,4,0.0,0.0,0.0
b300-tp1,triton,2,4,0.0,0.0,0.0
b300-tp1,triton,3,4,0.0,0.0,0.0
b300-tp1,triton,4,4,0.0,0.0,0.0
b300-tp1,triton,5,4,0.0,0.0,0.0
b300-tp1,triton,6,4,0.0,0.0,0.0
b300-tp1,triton,7,4,0.0,0.0,0.0
b300-tp1,triton,8,4,0.0,0.0,0.0
b300-tp1,triton,9,4,0.0,0.0,0.0
b300-tp1,triton,10,4,0.0,0.0,0.0
b300-tp1,triton,11,4,0.0,0.0,0.0
b300-tp1,triton,12,4,0.0,0.0,0.0
b300-tp1,triton,13,4,0.0,0.0,0.0
b300-tp1,triton,14,4,0.0,0.0,0.0
b300-tp1,triton,15,4,0.0,0.0,0.0
b300-tp1,triton,16,4,0.0,0.0,0.0
b300-tp1,triton,17,4,0.0,0.0,0.0
b300-tp1,triton,18,4,0.0,0.0,0.0
b300-tp1,triton,19,4,0.0,0.0,0.0
b300-tp1,triton,20,4,0.0,0.0,0.0
b300-tp1,triton,21,4,0.0,0.0,0.0
b300-tp1,triton,22,4,0.0,0.0,0.0
b300-tp1,triton,23,4,0.0,0.0,0.0
b300-tp1,triton,24,4,0.0,0.0,0.0
b300-tp1,triton,25,4,0.0,0.0,0.0
b300-tp1,triton,26,4,0.0,0.0,0.0
b300-tp1,triton,27,4,0.0,0.0,0.0
b300-tp1,triton,28,4,0.0,0.0,0.0
b300-tp1,triton,29,4,0.0,0.0,0.0
b300-tp1,triton,30,4,0.0,0.0,0.0
b300-tp1,triton,31,4,0.0,0.0,0.0
b300-tp1,triton,32,4,0.0,0.0,0.0
b300-tp1,triton,33,4,0.001953125,-0.004262590440007242,0.008168840440007243
b300-tp1,triton,34,4,0.0,0.0,0.0
b300-tp1,triton,35,4,0.0,0.0,0.0
b300-tp1,triton,36,4,0.0,0.0,0.0
b300-tp1,triton,37,4,0.0,0.0,0.0
b300-tp1,triton,38,4,0.0,0.0,0.0
b300-tp1,triton,39,4,0.0,0.0,0.0
b300-tp1,triton,40,4,0.0,0.0,0.0
b300-tp1,triton,41,4,0.0,0.0,0.0
b300-tp1,triton,42,4,0.0,0.0,0.0
b300-tp1,triton,43,4,0.0,0.0,0.0
b300-tp1,triton,44,4,0.0,0.0,0.0
b300-tp1,triton,45,4,0.0,0.0,0.0
b300-tp1,triton,46,4,0.0,0.0,0.0
b300-tp1,triton,47,4,0.0,0.0,0.0
b300-tp1,triton,48,4,0.0,0.0,0.0
b300-tp1,triton,49,4,0.001953125,-0.004262590440007242,0.008168840440007243
b300-tp1,triton,50,4,0.001953125,-0.004262590440007242,0.008168840440007243
b300-tp1,triton,51,4,0.0,0.0,0.0
b300-tp1,triton,52,4,0.0,0.0,0.0
b300-tp1,triton,53,4,0.0,0.0,0.0
b300-tp1,triton,54,4,0.0,0.0,0.0
b300-tp1,triton,55,4,0.0,0.0,0.0
b300-tp1,triton,56,4,0.0,0.0,0.0
b300-tp1,triton,57,4,0.0,0.0,0.0
b300-tp1,triton,58,4,0.0,0.0,0.0
b300-tp1,triton,59,4,0.0,0.0,0.0
b300-tp1,triton,60,4,0.0,0.0,0.0
b300-tp1,triton,61,4,0.0,0.0,0.0
b300-tp1,triton,62,4,0.0,0.0,0.0
b300-tp1,triton,63,4,0.0,0.0,0.0
b300-tp1,triton,64,4,0.0,0.0,0.0
b300-tp1,triton,65,4,0.0,0.0,0.0
b300-tp1,triton,66,4,0.0,0.0,0.0
b300-tp1,triton,67,4,0.0,0.0,0.0
b300-tp1,triton,68,4,0.0,0.0,0.0
b300-tp1,triton,69,4,0.0,0.0,0.0
b300-tp1,triton,70,4,0.0,0.0,0.0
b300-tp1,triton,71,4,0.0,0.0,0.0
b300-tp1,triton,72,4,0.0,0.0,0.0
b300-tp1,triton,73,4,0.0,0.0,0.0
b300-tp1,triton,74,4,0.0,0.0,0.0
b300-tp1,triton,75,4,0.0,0.0,0.0
b300-tp1,triton,76,4,0.0,0.0,0.0
b300-tp1,triton,77,4,0.0,0.0,0.0
b300-tp1,triton,78,4,0.0,0.0,0.0
b300-tp1,triton,79,4,0.0,0.0,0.0
b300-tp1,triton,80,4,0.0,0.0,0.0
b300-tp1,triton,81,4,0.0,0.0,0.0
b300-tp1,triton,82,4,0.0,0.0,0.0
b300-tp1,triton,83,4,0.0,0.0,0.0
b300-tp1,triton,84,4,0.0,0.0,0.0
b300-tp1,triton,85,4,0.0,0.0,0.0
b300-tp1,triton,86,4,0.0,0.0,0.0
b300-tp1,triton,87,4,0.0,0.0,0.0
b300-tp1,triton,88,4,0.0,0.0,0.0
b300-tp1,triton,89,4,0.0,0.0,0.0
b300-tp1,triton,90,4,0.0,0.0,0.0
b300-tp1,triton,91,4,0.0,0.0,0.0
b300-tp1,triton,92,4,0.0,0.0,0.0
b300-tp1,triton,93,4,0.0,0.0,0.0
b300-tp1,triton,94,4,0.0,0.0,0.0
b300-tp1,triton,95,4,0.0,0.0,0.0
b300-tp1,triton,96,4,0.0,0.0,0.0
b300-tp1,triton,97,4,0.0,0.0,0.0
b300-tp1,triton,98,4,0.0,0.0,0.0
